ID,SeparationType,Cease Date,DETE Start Date,Role Start Date,Position,Classification,Region,Business Unit,Employment Status,Career move to public sector,Career move to private sector,Interpersonal conflicts,Job dissatisfaction,Dissatisfaction with the department,Physical work environment,Lack of recognition,Lack of job security,Work location,Employment conditions,Maternity/family,Relocation,Study/Travel,Ill Health,Traumatic incident,Work life balance,Workload,None of the above,Professional Development,Opportunities for promotion,Staff morale,Workplace issue,Physical environment,Worklife balance,Stress and pressure support,Performance of supervisor,Peer support,Initiative,Skills,Coach,Career Aspirations,Feedback,Further PD,Communication,My say,Information,Kept informed,Wellness programs,Health & Safety,Gender,Age,Aboriginal,Torres Strait,South Sea,Disability,NESB,dissatisfied
515,Age Retirement,2013,2004,2004,Schools Officer,,Metropolitan,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,A,0,0,1,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,Male,61 or older,,,,,,1
516,Age Retirement,2013,1989,1999,Business Service Manager,,North Coast,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,0,1,1,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,SA,Female,56-60,,,,,,1
517,Age Retirement,2012,1963,1984,Teacher,Primary,Metropolitan,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,A,0,0,1,A,D,D,N,A,A,A,A,A,A,A,D,A,N,D,N,A,Female,61 or older,,,,,,1
518,Resignation-Move overseas/interstate,2010,2007,2007,Teacher Aide,,Metropolitan,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,True,False,False,False,0,0,False,SA,0,0,0,SA,SA,SA,SA,SA,SA,SA,SA,N,N,SA,A,SA,SA,SA,SA,SA,,31-35,,,,,,0
519,Age Retirement,2012,1977,1988,Teacher,Primary,South East,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,0,0,0,A,A,D,A,SA,SA,A,N,A,A,SA,A,SA,SA,SA,A,SA,Male,56-60,,,,,,0
520,Age Retirement,2013,1970,1978,Teacher,Primary,Central Queensland,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,0,1,1,A,A,A,A,A,SA,SA,A,M,SA,SA,A,A,A,A,A,A,,56-60,,,,,,1
521,Ill Health Retirement,2013,1996,2000,Teacher Aide,,Not Stated,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,True,False,0,0,False,A,1,1,1,N,A,N,N,A,A,A,A,N,N,N,N,A,A,N,N,N,Female,51-55,,,,Yes,,1
522,Age Retirement,2013,1971,1986,Head of Curriculum/Head of Special Education,,Darling Downs South West,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,A,0,1,1,A,D,N,N,A,A,A,A,N,A,A,N,A,N,A,N,SA,Male,56-60,,,,,,1
523,Age Retirement,2013,1999,1999,Schools Officer,,North Coast,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,0,1,1,A,N,A,A,N,A,A,,N,N,A,N,A,A,A,D,A,Male,61 or older,,,,,,1
524,Age Retirement,2013,1974,1999,Teacher,Primary,Metropolitan,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,SA,0,1,0,A,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,A,SA,SA,SA,SA,SA,Female,56-60,,,,,,1
525,Age Retirement,2012,1985,2008,Teacher,Secondary,Far North Queensland,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,SA,0,0,1,A,SD,SD,N,A,SA,SA,SD,D,D,D,D,D,N,A,SD,D,Female,61 or older,,,,,,1
526,Age Retirement,2013,1992,1995,Teacher Aide,,Metropolitan,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,D,0,0,0,A,N,N,N,N,N,A,,,A,D,SD,SD,SD,SD,SD,,Female,61 or older,,,,,,0
527,Age Retirement,2013,1970,2012,,,Metropolitan,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,0,1,1,A,A,A,A,N,SA,SA,A,SA,SA,SA,SA,SA,SA,SA,A,A,Female,61 or older,,,,,,1
528,Age Retirement,2012,1986,1986,Teacher Aide,,Central Queensland,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,1,1,0,A,SA,N,A,A,A,D,N,N,A,N,A,A,A,A,N,A,Female,61 or older,Yes,Yes,Yes,Yes,Yes,1
529,Ill Health Retirement,2012,1969,1990,Teacher,Primary,North Queensland,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,True,False,0,0,False,SA,0,0,0,SA,SA,SA,SA,SA,SA,SA,SA,A,A,A,A,A,A,A,A,A,Male,61 or older,,,,,,0
530,Age Retirement,2013,Not Stated,Not Stated,Schools Officer,,Central Office,Education Queensland,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,N,1,1,1,N,N,N,N,N,N,N,M,D,D,D,D,D,N,N,N,N,Male,61 or older,,,,,,1
531,Age Retirement,2013,1975,1975,Teacher,Primary,Metropolitan,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,SA,0,0,0,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,,61 or older,,,,,,0
532,Resignation-Other reasons,2013,Not Stated,Not Stated,Cleaner,,Central Office,Education Queensland,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,True,False,False,False,True,0,0,False,A,0,1,0,A,A,N,N,N,A,SA,SA,SD,SD,A,SD,A,A,A,N,N,Female,56-60,,,,,,1
533,Voluntary Early Retirement (VER),2013,1990,1995,Teacher,Secondary,Central Office,Education Queensland,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,1,0,1,A,D,D,A,A,A,A,A,N,A,A,SA,SA,A,A,A,SA,Female,56-60,,,,,,1
534,Resignation-Move overseas/interstate,2013,1999,2012,Public Servant,AO8 and Above,Central Office,Indigenous Education and Training Futures,Permanent Full-time,False,True,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,0,1,1,SA,A,A,SA,SA,SA,SA,A,SA,SA,SA,A,SA,A,SA,A,A,Male,36-40,Yes,,Yes,,,1
535,Resignation-Other reasons,2012,2008,2008,Cleaner,,North Coast,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,True,False,0,0,False,A,0,1,1,A,D,D,A,A,A,A,N,A,A,A,A,A,A,A,M,M,Female,56-60,,,,Yes,Yes,1
536,Age Retirement,2013,1974,1997,Teacher,Primary,North Coast,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,True,False,False,False,True,0,0,False,SA,0,1,1,A,A,A,SA,A,A,A,A,A,A,A,A,A,A,A,N,A,Female,56-60,,,,,,1
537,Resignation-Other reasons,2013,2007,2012,Teacher Aide,,Metropolitan,Education Queensland,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,True,False,False,False,0,0,False,A,0,1,1,SA,A,N,N,N,A,SA,D,N,A,N,A,N,N,A,A,A,Female,46-50,,,,,,1
538,Voluntary Early Retirement (VER),2013,1995,1996,Teacher Aide,,Far North Queensland,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,SA,0,0,0,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,A,SA,Female,56-60,,,,,,0
539,Resignation-Other reasons,2013,Not Stated,Not Stated,Teacher,Primary,Darling Downs South West,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,0,1,1,A,N,N,A,A,A,A,A,A,A,A,A,A,A,A,A,A,Male,26-30,,,,,,1
540,Resignation-Other reasons,2013,2007,2009,Public Servant,A01-A04,North Coast,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,True,False,False,False,0,0,False,SA,0,0,0,SA,SA,SA,SA,SA,SA,SA,M,A,A,A,SA,SA,SA,SA,SA,SA,Female,51-55,,,,,,0
541,Ill Health Retirement,2013,1998,2006,Teacher Aide,,Central Office,Education Queensland,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,True,False,0,0,False,A,0,1,1,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,Female,46-50,,,,Yes,,1
542,Resignation-Other reasons,2013,1996,2012,Public Servant,A01-A04,South East,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,D,0,1,1,N,A,M,SD,D,A,SD,D,D,D,D,N,N,N,SD,N,N,Female,41-45,,,,,,1
543,Age Retirement,2013,2006,2007,Cleaner,,Central Queensland,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,A,0,1,1,A,A,,,A,A,A,M,,,,A,A,A,A,M,A,Female,61 or older,,,,,,1
544,Resignation-Other employer,2013,2011,2011,Professional Officer,PO1-PO4,South East,,Permanent Full-time,True,False,False,0,0,0,0,False,False,0,True,False,False,False,False,0,0,False,SA,1,1,0,D,N,SA,A,SA,SA,SA,A,A,N,SA,SA,A,A,SA,A,N,Female,21-25,,,,,,1
545,Age Retirement,2013,1991,2009,Cleaner,,South East,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,A,1,1,1,N,N,D,N,D,A,N,N,A,A,N,N,A,A,A,A,A,Female,51-55,,,,,,1
546,Age Retirement,2013,1975,2001,Teacher,Primary,Central Queensland,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,N,0,1,0,SA,SA,A,SA,SA,SA,SA,SA,N,A,A,SA,SA,SA,SA,SA,SA,Male,56-60,,,,,,1
547,Other,2013,2009,2009,Cleaner,,Darling Downs South West,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,True,False,False,True,False,0,0,False,A,0,1,1,A,A,A,SA,SA,SA,SA,A,SA,SA,SA,SA,SA,SA,SA,SA,SA,Male,61 or older,,,,,,1
548,Resignation-Other employer,2013,2010,2012,Teacher Aide,,Metropolitan,,Permanent Full-time,True,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,D,0,1,1,A,A,SA,A,A,D,SD,D,D,D,D,SD,SD,A,D,D,A,Female,41-45,,,,,,1
549,Age Retirement,2013,1974,1986,Teacher,Secondary,Central Queensland,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,0,1,1,A,N,N,SA,SA,SA,SA,SA,A,A,A,A,SA,SA,SA,A,A,Female,61 or older,,,,,,1
550,Age Retirement,2013,1979,1979,Teacher,Secondary,Darling Downs South West,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,N,0,1,1,A,N,N,A,A,A,A,D,N,N,N,A,A,A,A,D,A,Male,51-55,,,,,,1
551,Resignation-Other reasons,2013,2000,2005,Teacher,Primary,South East,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,True,False,False,False,False,0,0,False,A,0,1,1,A,SA,SA,A,A,A,A,SA,SA,SA,SA,SA,A,A,A,A,A,Male,36-40,,,,,,1
552,Resignation-Move overseas/interstate,2013,2011,2011,Schools Officer,,Central Office,Education Queensland,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,True,False,False,False,0,0,False,N,0,1,1,N,N,N,N,N,N,N,D,N,N,N,N,N,N,N,N,N,Male,41-45,,,,,,1
553,Resignation-Other reasons,2013,2005,2013,Teacher,Special Education,Central Queensland,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,SA,1,0,1,D,SD,SD,D,A,N,A,A,A,A,A,N,A,A,A,M,A,Female,56-60,,,,,,1
554,Age Retirement,2013,1968,1998,Teacher,Special Education,Darling Downs South West,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,A,0,1,1,A,A,A,A,A,A,A,A,N,N,N,N,N,N,N,N,A,Female,61 or older,,,,,,1
555,Age Retirement,2012,Not Stated,Not Stated,Teacher,Secondary,Darling Downs South West,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,D,1,1,1,A,A,A,A,A,A,A,N,N,A,N,A,A,A,A,D,A,Female,61 or older,,,,,,1
556,Age Retirement,09/2013,1975,1975,Teacher Aide,Primary,Not Stated,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,SA,0,1,1,A,SA,A,SA,SA,SA,SA,SA,A,SA,A,SA,SA,SA,SA,A,SA,Female,61 or older,,,,,,1
557,Age Retirement,09/2013,1978,2010,Head of Curriculum/Head of Special Education,,Central Queensland,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,True,False,0,0,False,SA,0,1,1,A,D,D,A,SA,SA,SA,SA,SA,SA,A,A,A,A,A,A,A,Female,56-60,,,,,,1
558,Resignation-Move overseas/interstate,07/2013,2011,2011,Teacher,Middle,North Queensland,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,SD,0,0,0,A,SD,SD,SD,N,D,D,D,A,A,A,D,SD,SD,SD,SD,SD,Female,21-25,,,,,,0
559,Age Retirement,08/2013,2006,2006,Teacher,Primary,South East,,Permanent Part-time,False,False,False,0,0,0,0,True,False,0,False,False,False,False,False,0,0,False,D,0,1,1,A,A,A,N,A,A,SA,N,D,A,D,A,N,A,A,D,N,Male,61 or older,,,,,,1
560,Voluntary Early Retirement (VER),09/2013,2001,2001,Teacher Aide,,Metropolitan,,Permanent Part-time,False,False,True,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,SA,0,0,0,SA,SA,SA,SA,SA,SA,SA,,,SA,SA,SA,SA,SA,SA,SA,SA,Female,61 or older,,,,,,0
561,Age Retirement,07/2013,1989,2012,Public Servant,AO5-AO7,Darling Downs South West,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,A,0,1,1,A,SA,N,N,N,N,A,N,D,A,A,A,A,A,A,A,N,Female,56-60,,,,,,1
562,Voluntary Early Retirement (VER),08/2013,1979,2000,Head of Curriculum/Head of Special Education,,North Coast,,Permanent Full-time,False,False,True,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,0,1,0,D,D,SD,D,A,N,D,A,A,A,N,D,N,N,N,N,A,Male,56-60,,,,,,1
563,Resignation-Move overseas/interstate,06/2013,2012,2012,Cleaner,,Central Office,Education Queensland,Permanent Part-time,False,True,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,0,1,1,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,Female,41-45,,,,,,1
564,Resignation-Other reasons,06/2013,1990,2011,Teacher,Secondary,North Queensland,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,SD,0,0,0,D,SD,SD,SD,SA,SA,A,SA,A,A,D,SA,SD,A,D,N,N,Female,41-45,,,,,,0
565,Voluntary Early Retirement (VER),09/2013,1981,1996,Teacher,Secondary,Central Office,Education Queensland,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,SA,0,0,1,A,A,SA,SA,SA,SA,SA,SA,,A,A,A,A,A,A,,A,Female,51-55,,,,,,1
566,Age Retirement,07/2013,1978,1996,Teacher,Secondary,Central Queensland,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,SA,0,1,1,A,D,A,SA,SA,A,A,SA,A,A,A,A,A,A,A,A,SA,Female,51-55,,,,,,1
567,Age Retirement,04/2013,1980,1985,Head of Curriculum/Head of Special Education,,Not Stated,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,N,0,1,1,SA,A,A,D,SA,D,D,SA,N,A,N,D,A,N,A,N,A,Male,56-60,,,,,,1
568,Age Retirement,07/2013,Not Stated,2011,Teacher,Primary,Metropolitan,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,True,False,0,0,False,A,0,0,1,A,SA,A,SA,SA,SA,SA,SA,SA,SA,SA,A,SA,A,SA,A,A,Male,61 or older,,,,,,1
569,Resignation-Other reasons,06/2013,2000,Not Stated,Teacher Aide,,Central Office,Education Queensland,Permanent Part-time,False,True,False,0,0,0,0,False,False,0,True,False,False,False,False,0,0,False,A,1,1,1,A,N,A,A,A,A,A,A,A,A,A,A,A,A,A,N,A,Female,46-50,,,,,,1
570,Resignation-Other reasons,07/2013,2010,2010,Schools Officer,,North Queensland,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,0,1,1,A,N,N,A,A,A,N,D,N,A,N,N,N,N,N,N,A,Male,31-35,,,,,,1
571,Other,06/2013,2005,2005,Teacher Aide,,Central Queensland,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,0,0,0,SA,SA,SA,SA,SA,SA,SA,,A,SA,A,SA,SA,SA,SA,A,SA,Female,41-45,,,,,,0
572,Resignation-Other reasons,07/2013,1998,2008,Business Service Manager,,Darling Downs South West,,Permanent Full-time,True,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,SA,0,1,0,SA,N,N,A,N,SA,SA,N,SA,SA,SA,SA,SA,SA,SA,N,N,Female,41-45,,,,,,1
573,Termination,09/2013,Not Stated,Not Stated,Cleaner,,Central Office,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,SD,0,0,0,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,,,Male,56-60,,,,,,0
574,Ill Health Retirement,06/2013,2009,2011,Cleaner,,Not Stated,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,True,False,0,0,False,A,0,0,0,SD,A,SD,SD,D,D,N,,D,D,D,SD,SD,SD,SD,SD,SD,Female,41-45,,,,,,0
575,Voluntary Early Retirement (VER),06/2013,1990,2007,Public Servant,AO5-AO7,Central Office,Education Queensland,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,A,0,1,1,A,A,A,SA,A,SA,SA,SA,A,SA,SA,A,SA,SA,SA,A,A,Female,51-55,,,,,,1
576,Resignation-Other reasons,07/2013,2004,2005,Public Servant,AO5-AO7,Central Office,Education Queensland,Permanent Full-time,False,False,False,0,0,0,0,False,True,0,True,False,False,False,False,0,0,False,D,0,0,1,A,SA,D,D,A,A,A,A,D,A,D,D,A,A,D,A,D,Female,31-35,,,,,,1
577,Resignation-Other reasons,06/2013,2004,Not Stated,Teacher Aide,,Not Stated,,Permanent Part-time,False,True,False,0,0,0,0,False,True,0,True,False,False,False,False,0,0,False,A,0,0,1,A,SA,SA,A,SA,A,N,N,SA,SA,SA,SA,SA,SA,SA,SA,SA,Female,26-30,,,,,,1
578,Resignation-Other employer,09/2013,1994,1998,Teacher,Primary,North Queensland,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,A,1,1,1,A,N,N,A,A,A,A,A,N,A,N,N,N,A,A,N,A,Female,36-40,,,,,,1
579,Age Retirement,07/2013,1998,2003,Teacher,Secondary,Darling Downs South West,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,D,0,0,0,A,A,SA,SD,SA,SA,SA,SA,D,SD,SD,D,SD,SA,D,D,D,Male,61 or older,,,,,,0
580,Ill Health Retirement,07/2013,1997,2003,Schools Officer,,Not Stated,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,True,False,0,0,False,SA,0,1,1,A,A,A,A,A,N,A,D,N,A,A,A,A,A,A,A,A,Male,56-60,,,,,,1
581,Age Retirement,07/2013,1985,1987,Schools Officer,,Far North Queensland,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,A,1,1,0,A,A,N,A,N,SA,SA,D,N,N,N,A,A,SA,SA,N,N,Male,61 or older,,,,,,1
582,Age Retirement,05/2013,1996,1996,Teacher Aide,,Metropolitan,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,A,0,1,0,A,A,A,A,A,A,A,A,N,N,N,A,A,N,N,A,A,Female,61 or older,,,,,,1
583,Age Retirement,05/2013,2000,2000,Teacher,Secondary,Darling Downs South West,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,True,False,0,0,False,N,0,1,1,N,D,D,N,N,N,A,N,N,N,N,N,N,N,A,N,N,Female,56-60,,,,,,1
584,Age Retirement,09/2013,1992,1992,Cleaner,,Darling Downs South West,,Permanent Full-time,False,False,True,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,1,1,1,A,A,A,A,N,A,A,N,A,D,D,D,N,A,A,A,A,Female,61 or older,,,,,,1
585,Resignation-Other employer,07/2013,2008,2008,School Administrative Staff,,Not Stated,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,True,True,False,False,False,0,0,False,A,1,1,1,A,A,A,A,A,A,A,A,N,N,N,A,A,A,A,N,A,Female,51-55,,,,,,1
586,Resignation-Move overseas/interstate,06/2013,2012,2013,Teacher Aide,,Not Stated,,Temporary Full-time,False,False,False,0,0,0,0,False,False,0,False,False,True,False,False,0,0,False,A,1,0,0,SA,SA,SA,SA,SA,SA,SA,,N,N,N,A,SA,SA,SA,,,Female,21-25,,,,,,1
587,Resignation-Move overseas/interstate,09/2010,1999,2000,Teacher,Special Education,Darling Downs South West,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,True,True,False,False,0,0,False,A,1,1,1,A,SA,D,N,A,SA,A,A,N,N,A,A,N,A,A,D,M,Female,51-55,,,,,,1
588,Age Retirement,06/2013,1998,1998,Teacher,Secondary,South East,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,0,1,1,A,N,A,A,A,A,A,A,N,N,A,A,A,A,A,A,,Female,61 or older,,,,,,1
589,Resignation-Other employer,06/2013,2011,2011,Other,,South East,,Temporary Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,SA,1,0,0,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,Male,31-35,,,,,Yes,1
590,Resignation-Other reasons,09/2013,1985,1989,Other,,Metropolitan,,Permanent Full-time,False,False,True,0,0,0,0,False,False,0,False,False,False,False,True,0,0,False,,0,0,0,A,A,N,SD,N,N,SA,SA,SD,SD,SD,SD,SD,N,,,SD,Male,61 or older,,,,,Yes,0
591,Resignation-Other employer,01/2014,2005,2012,Public Servant,,Metropolitan,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,0,0,0,N,D,A,D,A,A,SA,SA,D,N,N,N,N,A,N,D,A,Female,31-35,,,,,,0
592,Ill Health Retirement,06/2013,2002,2002,Cleaner,,Darling Downs South West,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,True,False,0,0,False,SA,1,1,1,A,A,N,N,N,A,A,N,A,A,A,A,A,A,A,A,A,Female,51-55,,,,,,1
593,Resignation-Other reasons,06/2013,2001,2010,Cleaner,,North Queensland,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,A,0,1,1,A,A,A,A,A,A,A,,A,A,N,A,A,A,A,N,N,Female,56-60,,,,,,1
594,Resignation-Other reasons,06/2013,2005,2009,Teacher,Secondary,Not Stated,,Permanent Full-time,False,False,False,0,0,0,0,False,True,0,True,False,True,True,False,0,0,False,D,1,1,1,A,D,N,N,A,A,N,N,N,A,A,N,A,A,N,D,N,Female,36-40,,,,,,1
595,Ill Health Retirement,06/2013,Not Stated,Not Stated,Cleaner,,Central Office,Education Queensland,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,True,False,0,0,False,A,0,1,1,A,A,A,A,A,A,A,,A,A,A,A,A,A,A,A,A,Female,56-60,,,,,,1
596,Age Retirement,06/2013,1990,2004,Head of Curriculum/Head of Special Education,,Central Office,Education Queensland,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,SA,0,1,1,A,N,A,N,N,A,SA,SA,A,A,A,A,SA,A,SA,N,SA,Female,56-60,,,,,,1
597,Voluntary Early Retirement (VER),09/2013,1988,2000,Cleaner,,Central Office,Education Queensland,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,,0,0,0,,,,,,,,,,,,,,,,,,Female,61 or older,,,Yes,,,0
598,Voluntary Early Retirement (VER),06/2013,1978,1986,Head of Curriculum/Head of Special Education,,North Queensland,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,0,1,1,A,SD,D,A,N,A,A,SA,,A,N,A,A,N,N,SD,A,Male,56-60,,,,,,1
599,Age Retirement,07/2013,1984,1986,Teacher,Primary,Central Office,Education Queensland,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,A,0,1,0,SA,SA,SA,SA,SA,SA,SA,A,A,A,A,A,A,A,A,SA,SA,Female,56-60,,,,,,1
600,Voluntary Early Retirement (VER),09/2013,1970,1998,Teacher,Secondary,Not Stated,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,M,0,0,0,M,M,M,M,M,M,M,M,A,A,A,A,A,A,A,SA,A,Female,61 or older,,,,,,0
601,Age Retirement,07/2013,1990,Not Stated,Teacher Aide,,North Queensland,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,A,1,1,1,A,SA,A,A,A,A,A,A,N,A,N,A,N,A,A,,A,Female,61 or older,,,,,,1
602,Resignation-Other employer,07/2013,2010,2010,Public Servant,AO5-AO7,Central Office,Other,Permanent Full-time,False,False,True,0,0,0,0,False,False,0,False,False,True,False,False,0,0,False,SA,0,0,0,N,SA,A,A,D,A,SA,A,SA,SA,SA,N,N,A,A,A,A,Female,26-30,,,,,,0
